ADQF;6;Programes de mobilitat de l'estudiant (Out);X;;;;;X;;;;;;;;;;;;;;X;;;;http://www.udl.cat/serveis/ori/estudiantat.html
ADQF;7;Programes de mobilitat de l'estudiant (In);X;;;;;X;;;;;;;;;;;;;;X;;;;http://www.ice.udl.cat/fc/contingut.php?subseccio=activitats
ADQF;8;Beques i ajuts de mobilitat;X;;X;X;;X;;;;;;;;;;;;;;X;;;;
ADQF;9;Beques per a l'estudiantat internacional de màster;X;;;;;X;;;;;;;;;;;;;;X;;;;http://www.udl.cat/serveis/ori/estudiantat_estranger/esp/regulares/ayudamaster.html#solicitud.
ADQF;10;Informació genèrica sobre la UdL;X;X;X;X;X;X;;X;;;;;;;;X;;;;;;;;
ADQF;12;Informació sobre allotjament universitari;X;X;X;X;;;;;;X;;;;;;X;;;;;;;;
ADQF;14;Carnet universitari;X;X;X;X;;;;X;;X;;;;;;;;;;;;;;
ADQF;18;Activitats esportives;X;;X;X;;;;;;;;X;;;;;;;;;;;;http://www.esports.udl.cat/?page_id=663|http://www.esports.udl.cat/?page_id=666
ADQF;19;Disponibilitat d'instal·lacions per a la pràctica de l'esport;X;X;X;X;;;;;;;;X;;X;X;;;;X;;;;;http://www.esports.udl.cat/?page_id=646
ADQF;20;Ajuts esportistes universitaris;X;;;;;;;;;;;X;;;;;;;;X;;;;http://www.esports.udl.cat/?page_id=681
ADQF;21;Cursos de llengües;X;X;X;X;;;X;;;;;X;;;X;;;;;;;;;http://www.udl.cat/serveis/il/cursos.html
ADQF;22;Acreditació de coneixements lingüístics;X;X;X;X;;;X;;;;;X;;;X;;;;;;;;;http://www.udl.cat/serveis/il/acreditacio.html
ADQF;23;Suport a les Proves d'Accés a la Universitat (PAU);X;X;;;X;;;;;;;X;;;X;;;;;;;;;
ADQF;24;Proves d'Accés a la Universitat (PAU): Expedició de documents i certificats;X;X;;;X;;;;;;;X;;;X;;;;;;;;;
ADQF;25;Cursos de la Universitat d'Estiu;X;X;X;X;;;X;;;;;X;;;X;;;;;;;;;
ADQF;27;Assessorament en eines per a la gestió de la qualitat;X;;X;X;;;;;;;X;;;;;;;;;;;;;
ADQF;29;Assessorament i formació pel desenvolupament professional;;X;;;;;X;;;;;;;;;X;;;;;;;;
ART;30;Assessorament en la presentació de projectes competitius (nacionals i europeus);;;X;;;;;;X;;;;;;;;;;;X;;;;
ART;31;Assessorament en l'elaboració de convenis amb empreses i institucions;X;;X;X;;;;;X;;;;;;;;;;;;;;;
ART;32;Assessorament en valorització de resultats de la recerca;;;X;;;;;;X;;;;;;;;;;;;;;;http://www.trampoli.udl.cat/sites/default/files/Formulari_avaluacio_tecnologia.pdf|http://www.trampoli.udl.cat/creacio_empreses/que_cal_saber
ART;33;Assessorament i lliurament de serveis científicotècnics (SCT);X;X;X;X;;;;;X;;X;;;X;;;X;;X;;;;;http://www.udl.cat/recerca/oficina/sct.html
